"maxratiode"	"maxratio_cen_zio"	"maxratio_cen_pot"	"maxratiode2"	"averatiode"	"averatio_cen_zio"	"averatio_cen_pot"	"averatiode2"
"40"	1.33229362277876	1.17739067459155	1.20743282088412	1.21827293437211	1.28577111472905	1.13043596529952	1.14995439402798	1.17838266119265
"41"	1.35028799245957	1.21481582321633	1.21153936546449	1.22284774152012	1.29674502307125	1.13109174657011	1.14474661328676	1.18691915389263
"42"	1.33132134794529	1.1814180609017	1.20638747756657	1.21576693339828	1.28881231736732	1.12429154651509	1.14529058426145	1.18211817084341
"43"	1.32484268594212	1.21447266127064	1.2009543567957	1.21180660979108	1.28692725098959	1.12520329659563	1.14852853625659	1.17858715495122
"44"	1.34708644761582	1.19893058429128	1.1867366167457	1.2133255724936	1.29707743474715	1.14190253406199	1.14073142161575	1.17911571756556
"45"	1.36448500304839	1.17511312785917	1.19842429492692	1.22222087099509	1.30124555838896	1.13670835537952	1.14535727212973	1.18556605101086
"46"	1.3524297819896	1.20337019383198	1.20587032465243	1.21058027716356	1.30096959465224	1.14915770869685	1.14302539256647	1.17970129747955
"47"	1.33784129594849	1.19233124753447	1.19222565766549	1.21571874561221	1.29247899807778	1.1416347171965	1.1350623382758	1.17326397116413
"48"	1.35077306670224	1.20255501471785	1.19698785277614	1.21251948499545	1.29557620843693	1.14364922188842	1.14367407971636	1.18197326269864
"49"	1.33573278185164	1.21705143894172	1.18560362146515	1.22011797945389	1.30339323347034	1.14097011306246	1.14489371858044	1.185332586264
"50"	1.36262684166851	1.18641672528232	1.22301118493606	1.22805284054209	1.29085374003389	1.12378092706942	1.14140573815015	1.18718336705381
